Time (sec),Run Time (sec),Heater Set (C),Heater Duty (0-1),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Spool Duty (0-1),Wind B-F Speed (PPS),Filament Diameter Set (mm),Heater Actual (C),Filament Feed Rate Actual (RPS),Spool Wind Rate Actual (RPS),Wind Direction (R/L),Wind Count (#),Filament Diameter Actual (mm),Total Fiber Produced (m),Heater Current (mA),Spool DC Motor Current (mA),Stepper and 12V Current (mA),Total Power (W),Total Energy Used (Wh)
1590082670,104.021357,82.5,0.218196969,0.0005,0.25,0.155489309,0,0,84.05,0.0005,0.251811905,1,1,0.269,2.746784916,1535.8,45.38,529.4,25.32696,1.021238707
1590082671,105.023434,82.5,0.215779109,0.0005,0.25,0.154644735,0,0,84.01,0.0005,0.25185119,1,1,0.295,2.765598808,1488.4,44.63,573.6,25.27956,1.028429352
1590082672,106.020306,82.5,0.214534463,0.0005,0.25,0.155664817,0,0,84.02,0.0005,0.242683333,1,1,0.283,2.780833052,1341,47.98,568.8,23.51376,1.034939506
1590082673,107.024427,82.5,0.214092015,0.0005,0.25,0.155086579,0,0,84.09,0.0005,0.25185119,1,1,0.268,2.800612811,1407.8,47.01,564,23.76576,1.04176642
1590082674,108.019528,82.5,0.214057264,0.0005,0.25,0.154952334,0,0,84.09,0.0005,0.251811905,1,1,0.27,2.820659521,1509.8,45.48,585.2,25.68576,1.048678641
1590082675,109.024606,82.5,0.211210909,0.0005,0.25,0.153804884,0,0,84.08,0.0005,0.251841667,1,1,0.267,2.840262908,1350.2,46.21,562.4,23.50572,1.055420638
1590082676,110.022862,82.5,0.21359407,0.0005,0.25,0.15597258,0,0,83.99,0.0005,0.247271429,1,1,0.271,2.861004039,1334.6,47.55,552,23.2098,1.06240466
1590082677,111.019645,82.5,0.209927637,0.0005,0.25,0.154975974,0,0,84.09,0.0005,0.251841667,1,1,0.254,2.880479025,1417,46.6,546.4,24.12,1.068636523
1590082678,112.02031,82.5,0.210305377,0.0005,0.25,0.15451303,0,0,84.09,0.0005,0.251841667,1,1,0.256,2.900966643,1387.8,45.21,562.6,24.7158,1.075253453
1590082679,113.024295,82.5,0.209065653,0.0005,0.25,0.155071828,0,0,84.05,0.0005,0.247271429,1,1,0.26,2.923539193,1302.8,46.08,527.8,23.20644,1.082188369
1590082680,114.024313,82.5,0.209425662,0.0005,0.25,0.156792847,0,0,84.09,0.0005,0.247271429,1,1,0.244,2.946523806,1311.4,46.86,527,22.3974,1.088904095
1590082681,115.022563,82.5,0.207775065,0.0005,0.25,0.154293074,0,0,84.05,0.0005,0.2473,1,1,0.232,2.971528831,1450.2,45.13,529,24.29196,1.09552019
1590082682,116.019301,82.5,0.208152417,0.0005,0.25,0.156190958,0,0,83.92,0.0005,0.247261905,1,1,0.241,2.997410655,1464.4,44.98,549.4,24.70536,1.102174298
1590082683,117.020605,82.5,0.208940846,0.0005,0.25,0.155602121,0,0,84.03,0.0005,0.251415476,1,1,0.238,3.024059494,1472.2,45.48,529.2,24.56256,1.109078873
1590082684,118.02031,82.5,0.205716166,0.0005,0.25,0.156555477,0,0,83.99,0.0005,0.25185119,1,1,0.254,3.046527362,1284.4,47.3,543,22.4964,1.115370537
1590082685,119.020582,82.5,0.208968427,0.0005,0.25,0.155238768,0,0,83.99,0.0005,0.247261905,1,1,0.256,3.069537663,1302.6,45.25,539.8,22.6518,1.121976775
1590082686,120.023667,82.5,0.205738079,0.0005,0.25,0.154814176,0,0,84.01,0.0005,0.25185119,1,1,0.256,3.092184084,1292.2,46.32,556,22.73424,1.128571903
1590082687,121.020931,82.5,0.208559881,0.0005,0.25,0.155385451,0,0,83.94,0.0005,0.247261905,1,1,0.258,3.111477752,1384.2,46.34,530.2,24.50736,1.134651741
1590082688,122.021694,82.5,0.204945737,0.0005,0.25,0.154899279,0,0,84,0.0005,0.251811905,1,1,0.268,3.132220036,1444,45.7,545.2,23.77608,1.141411611
1590082689,123.023049,82.5,0.207340615,0.0005,0.25,0.153860903,0,0,83.95,0.0005,0.251841667,1,1,0.258,3.152812695,1320.2,45.7,534,24.52584,1.148191746
1590082690,124.022059,82.5,0.206970642,0.0005,0.25,0.154911837,0,0,83.95,0.0005,0.247271429,1,1,0.269,3.173045777,1455.4,-207.13,525.2,21.28164,1.154734567
1590082691,125.020696,82.5,0.207400001,0.0005,0.25,0.155447077,0,0,83.95,0.0005,0.251841667,1,1,0.263,3.193226252,1464.8,46.59,573.6,25.01988,1.161297819
1590082692,126.019751,82.5,0.207462295,0.0005,0.25,0.156494832,0,0,83.83,0.0005,0.251841667,1,1,0.283,3.212042998,1378.2,46.05,569.8,23.9286,1.168229741
1590082693,127.020588,82.5,0.207938096,0.0005,0.25,0.154454466,0,0,83.8,0.0005,0.247261905,1,1,0.284,3.228562742,1369.8,46,569.8,22.8414,1.174521298
1590082694,128.022773,82.5,0.204364442,0.0005,0.25,0.156195935,0,0,83.84,0.0005,0.247261905,1,1,0.269,3.247237996,1430.8,46.19,570.4,24.77988,1.181310077
1590082695,129.021618,82.5,0.204815172,0.0005,0.25,0.156293553,0,0,83.74,0.0005,0.251841667,1,1,0.276,3.266509773,1389.8,45.88,578.6,22.9026,1.188057769
1590082696,130.019497,82.5,0.208521167,0.0005,0.25,0.154423692,0,0,83.83,0.0005,0.251830952,1,1,0.297,3.284216883,1464.6,45.73,557.6,24.81516,1.194886502
1590082697,131.022232,82.5,0.20902961,0.0005,0.25,0.154754417,0,0,83.77,0.0005,0.24717619,1,1,0.268,3.301972138,1372.8,46.47,545.2,23.57364,1.201776233
1590082698,132.025548,82.5,0.207519433,0.0005,0.25,0.15526198,0,0,83.78,0.0005,0.247233333,1,1,0.277,3.321482509,1454.2,46.54,538.4,24.46968,1.208168347
1590082699,133.030467,82.5,0.207657229,0.0005,0.25,0.154172979,0,0,83.74,0.0005,0.251841667,1,1,0.293,3.338581533,1412.6,45.29,524.8,23.79228,1.214749017
1590082700,134.027025,82.5,0.208924337,0.0005,0.25,0.153928018,0,0,83.73,0.0005,0.247271429,1,1,0.289,3.355368686,1321.8,44.61,520.2,22.63932,1.221264014
1590082701,135.030521,82.5,0.211085722,0.0005,0.25,0.154550874,0,0,83.69,0.0005,0.247261905,1,1,0.275,3.374866717,1479.2,47.25,534.4,24.7302,1.226389118
1590082702,136.030913,82.5,0.206841913,0.0005,0.25,0.155371639,0,0,83.6,0.0005,0.247271429,1,1,0.283,3.391752653,1452.8,46.98,514.8,24.43344,1.2326325
1590082703,137.025379,82.5,0.208613157,0.0005,0.25,0.154779999,0,0,83.62,0.0005,0.256420238,1,1,0.274,3.409412998,1302.2,44.29,539.6,24.17664,1.239211748
1590082704,138.031501,82.5,0.207196063,0.0005,0.25,0.153825941,0,0,83.62,0.0005,0.247261905,1,1,0.272,3.428533604,1336.8,45.78,501.2,22.60536,1.245847344
1590082705,139.020151,82.5,0.211403114,0.0005,0.25,0.155521602,0,0,83.56,0.0005,0.242654762,1,1,0.289,3.447523317,1467.8,47.13,534.6,24.59436,1.252566458
