Time (s),Run A Diameter (mm),Run B Diameter (mm)
63,0.354929,0.38227
63.1,0.354929,0.38227
63.2,0.354929,0.38227
63.3,0.354929,0.409611
63.4,0.354929,0.38227
63.5,0.3686,0.38227
63.6,0.354929,0.38227
63.7,0.354929,0.3686
63.8,0.354929,0.354929
63.9,0.354929,0.354929
64,0.3686,0.354929
64.1,0.3686,0.354929
64.2,0.3686,0.354929
64.3,0.3686,0.3686
64.4,0.3686,0.3686
64.5,0.3686,0.3686
64.6,0.3686,0.3686
64.7,0.3686,0.3686
64.8,0.3686,0.3686
64.9,0.3686,0.3686
65,0.3686,0.3686
65.1,0.3686,0.3686
65.2,0.3686,0.3686
65.3,0.3686,0.3686
65.4,0.3686,0.3686
65.5,0.354929,0.3686
65.6,0.354929,0.3686
65.7,0.354929,0.38227
65.8,0.341259,0.38227
65.9,0.341259,0.38227
66,0.341259,0.38227
66.1,0.354929,0.38227
66.2,0.354929,0.38227
66.3,0.354929,0.38227
66.4,0.354929,0.38227
66.5,0.354929,0.38227
66.6,0.3686,0.38227
66.7,0.3686,0.38227
66.8,0.3686,0.38227
66.9,0.3686,0.38227
67,0.3686,0.3686
67.1,0.38227,0.3686
67.2,0.38227,0.3686
67.3,0.395941,0.3686
67.4,0.395941,0.3686
67.5,0.395941,0.3686
67.6,0.395941,0.38227
67.7,0.395941,0.3686
67.8,0.395941,0.3686
67.9,0.395941,0.3686
68,0.395941,0.3686
68.1,0.395941,0.395941
68.2,0.395941,0.395941
68.3,0.395941,0.3686
68.4,0.395941,0.395941
68.5,0.395941,0.3686
68.6,0.395941,0.3686
68.7,0.395941,0.3686
68.8,0.395941,0.3686
68.9,0.38227,0.3686
69,0.38227,0.354929
69.1,0.3686,0.354929
69.2,0.3686,0.354929
69.3,0.3686,0.354929
69.4,0.3686,0.354929
69.5,0.3686,0.354929
69.6,0.3686,0.354929
69.7,0.3686,0.354929
69.8,0.3686,0.3686
69.9,0.38227,0.3686
70,0.38227,0.3686
70.1,0.395941,0.3686
70.2,0.395941,0.3686
70.3,0.395941,0.3686
70.4,0.38227,0.3686
70.5,0.3686,0.3686
70.6,0.3686,0.3686
70.7,0.3686,0.3686
70.8,0.3686,0.3686
70.9,0.3686,0.3686
71,0.3686,0.38227
71.1,0.354929,0.38227
71.2,0.354929,0.38227
71.3,0.354929,0.38227
71.4,0.354929,0.38227
71.5,0.354929,0.38227
71.6,0.354929,0.38227
71.7,0.354929,0.38227
71.8,0.354929,0.38227
71.9,0.354929,0.38227
72,0.354929,0.38227
72.1,0.354929,0.38227
72.2,0.354929,0.38227
72.3,0.354929,0.38227
72.4,0.354929,0.38227
72.5,0.341259,0.38227
72.6,0.341259,0.38227
72.7,0.354929,0.38227
72.8,0.354929,0.38227
72.9,0.354929,0.38227
73,0.354929,0.38227
73.1,0.3686,0.38227
73.2,0.354929,0.38227
73.3,0.354929,0.38227
73.4,0.3686,0.38227
73.5,0.3686,0.38227
73.6,0.3686,0.3686
73.7,0.3686,0.3686
73.8,0.3686,0.38227
73.9,0.3686,0.3686
74,0.3686,0.3686
74.1,0.3686,0.3686
74.2,0.3686,0.38227
74.3,0.3686,0.38227
74.4,0.3686,0.38227
74.5,0.354929,0.395941
74.6,0.354929,0.395941
74.7,0.327588,0.395941
74.8,0.327588,0.395941
74.9,0.327588,0.395941
75,0.327588,0.395941
75.1,0.327588,0.395941
75.2,0.327588,0.395941
75.3,0.327588,0.395941
75.4,0.327588,0.38227
75.5,0.327588,0.38227
75.6,0.327588,0.38227
75.7,0.327588,0.38227
75.8,0.341259,0.38227
75.9,0.341259,0.3686
76,0.327588,0.3686
76.1,0.327588,0.3686
76.2,0.327588,0.354929
76.3,0.327588,0.354929
76.4,0.327588,0.354929
76.5,0.313918,0.354929
76.6,0.313918,0.341259
76.7,0.313918,0.341259
76.8,0.313918,0.354929
76.9,0.313918,0.341259
77,0.313918,0.341259
77.1,0.341259,0.341259
77.2,0.354929,0.341259
77.3,0.354929,0.327588
77.4,0.354929,0.327588
77.5,0.354929,0.327588
77.6,0.3686,0.327588
77.7,0.3686,0.327588
77.8,0.3686,0.327588
77.9,0.3686,0.327588
78,0.3686,0.327588
78.1,0.3686,0.327588
78.2,0.3686,0.327588
78.3,0.3686,0.327588
78.4,0.3686,0.341259
78.5,0.3686,0.341259
78.6,0.3686,0.341259
78.7,0.3686,0.341259
78.8,0.3686,0.327588
78.9,0.3686,0.327588
79,0.3686,0.327588
79.1,0.38227,0.327588
79.2,0.38227,0.327588
79.3,0.38227,0.341259
79.4,0.395941,0.341259
79.5,0.395941,0.327588
79.6,0.395941,0.327588
79.7,0.395941,0.327588
79.8,0.395941,0.341259
79.9,0.395941,0.341259
80,0.409611,0.327588
80.1,0.395941,0.341259
80.2,0.395941,0.341259
80.3,0.395941,0.341259
80.4,0.395941,0.341259
80.5,0.395941,0.341259
80.6,0.395941,0.341259
80.7,0.395941,0.341259
80.8,0.395941,0.341259
80.9,0.395941,0.341259
81,0.395941,0.341259
81.1,0.38227,0.341259
81.2,0.38227,0.341259
81.3,0.38227,0.341259
81.4,0.38227,0.341259
81.5,0.38227,0.341259
81.6,0.38227,0.341259
81.7,0.3686,0.341259
81.8,0.3686,0.354929
81.9,0.3686,0.354929
82,0.3686,0.354929
82.1,0.3686,0.354929
82.2,0.3686,0.354929
82.3,0.3686,0.354929
82.4,0.3686,0.354929
82.5,0.3686,0.354929
82.6,0.3686,0.341259
82.7,0.3686,0.341259
82.8,0.38227,0.341259
82.9,0.38227,0.341259
83,0.38227,0.341259
83.1,0.38227,0.341259
83.2,0.3686,0.341259
83.3,0.3686,0.341259
83.4,0.354929,0.341259
83.5,0.354929,0.354929
83.6,0.341259,0.341259
83.7,0.341259,0.354929
83.8,0.341259,0.354929
83.9,0.341259,0.354929
84,0.341259,0.354929
84.1,0.341259,0.3686
