Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
322.0220008,0.001,0.918044,127,0.21,0.92,3,0.216
322.9880385,0.001,0.918284,127,0.21,0.919,3,0.21
323.9873953,0.001,0.917366,127,0.21,0.917,3,0.209
324.9857275,0.001,0.914485,127,0.21,0.916,3,0.208
325.989929,0.001,0.912077,127,0.21,0.913,3,0.209
326.9883566,0.001,0.912554,127,0.21,0.911,3,0.221
327.9857802,0.001,0.915472,127,0.21,0.913,3,0.204
328.9872854,0.001,0.916427,127,0.21,0.914,3,0.216
329.9881582,0.001,0.919424,127,0.21,0.916,3,0.216
330.9904237,0.001,0.922319,127,0.21,0.917,3,0.209
331.9892414,0.001,0.922275,127,0.21,0.92,3,0.209
332.9924388,0.001,0.922758,127,0.21,0.921,3,0.222
333.9939866,0.001,0.927543,127,0.21,0.927,3,0.215
334.9893847,0.001,0.929703,127,0.21,0.928,3,0.213
335.9915681,0.001,0.929356,127,0.21,0.927,3,0.204
336.9885807,0.001,0.925131,127,0.21,0.923,3,0.222
337.9865465,0.001,0.926443,127,0.21,0.923,3,0.216
339.0079703,0.001,0.924528,127,0.21,0.922,3,0.2
339.9861908,0.001,0.916609,127,0.21,0.917,3,0.177
340.9880016,0.001,0.90484,127,0.21,0.91,3,0.181
341.985683,0.001,0.893352,127,0.21,0.898,3,0.185
342.9877925,0.001,0.880983,127,0.21,0.892,3,0.189
343.9864764,0.001,0.869442,127,0.21,0.877,3,0.175
344.9908233,0.001,0.856724,127,0.21,0.871,3,0.179
345.9917545,0.001,0.837459,127,0.21,0.853,3,0.175
346.9923751,0.001,0.826074,127,0.21,0.838,3,0.187
347.9881899,0.001,0.815838,127,0.21,0.826,3,0.191
348.9911752,0.001,0.803659,127,0.21,0.811,3,0.194
349.9910853,0.001,0.798566,127,0.21,0.803,3,0.211
350.9905674,0.001,0.796131,127,0.21,0.803,3,0.215
351.98715,0.001,0.796082,127,0.21,0.801,3,0.206
352.9895735,0.001,0.796715,127,0.21,0.798,3,0.211
353.9891381,0.001,0.798643,127,0.21,0.8,3,0.216
354.9991665,0.001,0.8019,127,0.21,0.798,3,0.2
355.9932661,0.001,0.802733,127,0.21,0.802,3,0.205
357.0090685,0.001,0.80661,127,0.21,0.803,3,0.229
358.0327384,0.001,0.81716,127,0.21,0.811,3,0.22
359.0086324,0.001,0.829088,127,0.21,0.821,3,0.228
359.9911072,0.001,0.836288,127,0.21,0.828,3,0.229
361.0042558,0.001,0.84395,127,0.21,0.839,3,0.24
362.011929,0.001,0.856746,127,0.21,0.85,3,0.251
363.0129318,0.001,0.871639,127,0.21,0.859,3,0.252
364.0141602,0.001,0.88449,127,0.21,0.873,3,0.242
365.0199225,0.001,0.901087,127,0.21,0.885,3,0.237
365.9885292,0.001,0.909153,127,0.21,0.896,3,0.214
366.9896908,0.001,0.90999,127,0.21,0.901,3,0.206
367.9891059,0.001,0.906455,127,0.21,0.901,3,0.211
368.9908078,0.001,0.907649,127,0.21,0.905,3,0.208
369.9874182,0.001,0.907649,127,0.21,0.905,3,0.206
370.9868045,0.001,0.908285,127,0.21,0.907,3,0.208
371.9877365,0.001,0.911401,127,0.21,0.905,3,0.226
372.9884384,0.001,0.916673,127,0.21,0.913,3,0.223
374.045434,0.001,0.924809,127,0.21,0.919,3,0.263
375.0461712,0.001,0.939124,127,0.21,0.925,3,0.239
376.0673509,0.001,0.949965,127,0.21,0.935,3,0.265
377.0838146,0.001,0.966591,127,0.21,0.955,3,0.241
377.9885926,0.001,0.982189,127,0.21,0.967,3,0.224
378.9878473,0.001,0.988588,127,0.21,0.976,3,0.244
379.9873867,0.001,0.996557,127,0.21,0.984,3,0.222
380.987855,0.001,0.996444,127,0.21,0.988,3,0.211
381.9875765,0.001,0.998842,127,0.21,0.991,3,0.217
382.9882278,0.001,1.00124,127,0.21,0.997,3,0.219
383.9880526,0.001,1.00212,127,0.21,1.001,3,0.217
384.9887171,0.001,1.00345,127,0.21,1.002,3,0.22
385.991564,0.001,1.00442,127,0.21,1.003,3,0.205
386.9897525,0.001,1.00257,127,0.21,1.003,3,0.215
387.9898648,0.001,1.00747,127,0.21,1.003,3,0.217
388.9940982,0.001,1.00723,127,0.21,1.008,3,0.225
389.9877725,0.001,1.01169,127,0.21,1.009,3,0.208
390.9878206,0.001,1.00965,127,0.21,1.009,3,0.208
391.9886229,0.001,1.00796,127,0.21,1.008,3,0.223
392.9880393,0.001,1.01579,127,0.21,1.009,3,0.224
393.9963417,0.001,1.01988,127,0.21,1.014,3,0.213
394.9889355,0.001,1.02037,127,0.21,1.014,3,0.199
395.9901824,0.001,1.01697,127,0.21,1.016,3,0.209
396.9877677,0.001,1.0166,127,0.21,1.015,3,0.205
398.0080743,0.001,1.01728,127,0.21,1.017,3,0.199
399.0099385,0.001,1.01189,127,0.21,1.013,3,0.191
400.0122278,0.001,1.00582,127,0.21,1.011,3,0.207
401.0161679,0.001,1.00461,127,0.21,1.008,3,0.198
402.0246758,0.001,0.998646,127,0.21,1.002,3,0.198
403.0317414,0.001,0.99113,127,0.21,0.995,3,0.201
