Run Time (sec),Filament Feed Rate Set (RPS),Spool Wind Rate Set (RPS),Wind B-F Speed (PPS),Filament Diameter Set (mm),Spool Wind Rate Actual (RPS),Wind Count (#),Filament Diameter Actual (mm)
327.0063233,0.001,1,127,0,0.997,3,0.201
328.0049739,0.001,1,127,0,0.998,3,0.203
329.0018618,0.001,1,127,0,1,3,0.207
330.0033045,0.001,1,127,0,1,3,0.196
331.0028532,0.001,1,127,0,1.001,3,0.195
332.0024545,0.001,1,127,0,1.004,3,0.224
333.0030851,0.001,1,127,0,1.001,3,0.223
334.0032661,0.001,1,127,0,1.002,3,0.228
335.002131,0.001,1,127,0,1.003,3,0.211
336.0040865,0.001,1,127,0,1.002,3,0.217
337.0053163,0.001,1,127,0,1.001,3,0.225
338.0035589,0.001,1,127,0,0.997,3,0.227
339.0055463,0.001,1,127,0,1.002,3,0.222
340.0044,0.001,1,127,0,0.997,3,0.214
341.0052588,0.001,1,127,0,0.997,3,0.222
342.0057805,0.001,1,127,0,0.998,3,0.191
343.0051537,0.001,1,127,0,1,3,0.216
344.0031173,0.001,1,127,0,0.995,3,0.211
345.002445,0.001,1,127,0,0.998,3,0.222
346.0037701,0.001,1,127,0,1.003,3,0.214
347.0798926,0.001,1,127,0,1.001,3,0.236
348.0856767,0.001,1,127,0,1.001,3,0.23
349.1042631,0.001,1,127,0,1.003,3,0.206
350.2852931,0.001,1,127,0,1.003,3,0.221
351.0066116,0.001,1,127,0,1.003,3,0.222
352.0064437,0.001,1,127,0,1.002,3,0.214
353.0084834,0.001,1,127,0,0.998,3,0.217
354.0045943,0.001,1,127,0,0.998,3,0.216
355.01266,0.001,1,127,0,0.997,3,0.218
356.0197937,0.001,1,127,0,1.001,3,0.213
357.023016,0.001,1,127,0,0.998,3,0.218
358.0357273,0.001,1,127,0,1,3,0.211
359.0496416,0.001,1,127,0,1.002,3,0.214
360.0285513,0.001,1,127,0,0.996,3,0.226
361.0079823,0.001,1,127,0,1,3,0.227
362.0039897,0.001,1,127,0,1,3,0.225
363.0064759,0.001,1,127,0,1.002,3,0.224
364.0063465,0.001,1,127,0,1,3,0.214
365.0029619,0.001,1,127,0,1,3,0.216
366.0036757,0.001,1,127,0,1.002,3,0.204
367.0042856,0.001,1,127,0,1.002,3,0.215
368.0034754,0.001,1,127,0,0.998,3,0.22
369.007555,0.001,1,127,0,1,3,0.22
370.0089576,0.001,1,127,0,0.998,3,0.223
371.0040402,0.001,1,127,0,0.997,3,0.212
372.0057101,0.001,1,127,0,1,3,0.214
